_id	budget	country	genres	imdb_score	metascore	opening_usa	production_companies	release_date	title	usa_gross	worldwide_gross
5af5ed309a5d8daabb72ba44	37000000	USA	['Comedy', 'Crime']	7.0	44.0	26419396.0	['New Line Cinema', 'Newman/Tooley Films', 'Slap Happy Productions (II)', 'Heyday Films', 'BenderSpink', 'Vincent Newman Entertainment']	2013-08-07	We're the Millers	150394119	269994119.0
5af5ed309a5d8daabb72ba45	30000000	USA	['Drama', 'Horror']	5.9	53.0	17000000.0	['Metro-Goldwyn-Mayer (MGM)', 'Screen Gems', 'Misher Films']	2013-10-18	Carrie	35266619	84790678.0
5af5ed309a5d8daabb72ba46	215000000	USA	['Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']	6.3	44.0	79110453.0	['Walt Disney Pictures', 'Roth Films']	2013-03-08	Oz the Great and Powerful	234911825	493311825.0
5af5ed309a5d8daabb72ba47	38000000	UK	['Action', 'Biography', 'Drama', 'History', 'Sport']	8.1	75.0	187289.0	['Exclusive Media Group', 'Cross Creek Pictures', 'Imagine Entertainment', 'Revolution Films', 'Working Title Films', 'Double Negative']	2013-09-27	Rush	26947624	90247624.0
5af5ed309a5d8daabb72ba48	39200000	South Korea	['Action', 'Adventure', 'Sci-Fi']	7.0	84.0	171187.0	['SnowPiercer', 'Moho Film', 'Opus Pictures', 'Stillking Films', 'CJ E&M Film Financing & Investment Entertainment & Comics', 'CJ Entertainment']	2014-07-11	Snowpiercer	4563650	86758912.0
5af5ed309a5d8daabb72ba4a	225000000	USA	['Adventure', 'Fantasy']	7.9	66.0	73645197.0	['Metro-Goldwyn-Mayer (MGM)', 'New Line Cinema', 'WingNut Films']	2013-12-13	The Hobbit: The Desolation of Smaug	258366855	960366855.0
5af5ed309a5d8daabb72ba4b	40000000	USA	['Crime', 'Drama']	7.3	90.0	740455.0	['Columbia Pictures', 'Annapurna Pictures', 'Atlas Entertainment']	2013-12-20	American Hustle	150117807	251171807.0
5af5ed309a5d8daabb72ba4c	20000000	USA	['Biography', 'Drama', 'History']	8.1	96.0	923715.0	['Regency Enterprises', 'River Road Entertainment', 'Plan B Entertainment', 'New Regency Pictures', 'Film4', 'Summit Entertainment']	2013-11-08	12 Years a Slave	56671993	187733202.0
5af5ed309a5d8daabb72ba4d	20000000	USA	['Horror', 'Mystery', 'Thriller']	7.5	68.0	41855326.0	['New Line Cinema', 'Safran Company, The', 'Evergreen Media Group']	2013-07-19	The Conjuring	137400141	318000141.0
5af5ed309a5d8daabb72ba4e	23000000	USA	['Drama', 'Romance', 'Sci-Fi']	8.0	90.0	260382.0	['Annapurna Pictures']	2014-01-10	Her	25568251	47351251.0
5af5ed309a5d8daabb72ba4f	4000000	France	['Drama', 'Romance']	7.8	88.0	100316.0	"[""Quat'sous Films"", 'Wild Bunch', 'France 2 Cinéma', 'Scope Pictures', 'Vértigo Films', 'Radio Télévision Belge Francophone (RTBF)', 'Canal+', 'Ciné+', 'France 2 (FR2)', 'Eurimages', 'Région Nord-Pas-de-Calais', 'Centre National de la Cinématographie (CNC)', 'Pictanovo Nord-Pas-de-Calais', 'France Télévision', 'Le Tax Shelter du Gouvernement Fédéral de Belgique', ""Centre du Cinéma et de l'Audiovisuel de la Fédération Wallonie-Bruxelles""]"	2013-10-09	Blue Is the Warmest Color	2199675	
5af5ed309a5d8daabb72ba50	80000000	USA	['Comedy']	5.4	19.0	41508572.0	['Columbia Pictures', 'Happy Madison Productions', 'Sony Pictures Entertainment (SPE)']	2013-07-12	Grown Ups 2	133668525	246984278.0
5af5ed309a5d8daabb72ba51	12000000	UK	['Comedy', 'Drama', 'Fantasy', 'Romance', 'Sci-Fi']	7.8	55.0	1076250.0	['Translux', 'Working Title Films']	2013-11-08	About Time	15322921	87100449.0
5af5ed309a5d8daabb72ba52	225000000	USA	['Action', 'Adventure', 'Fantasy', 'Sci-Fi']	7.1	55.0	116619362.0	['Warner Bros.', 'Legendary Entertainment', 'Syncopy', 'DC Comics', 'DC Entertainment']	2013-06-14	Man of Steel	291045518	668045518.0
5af5ed309a5d8daabb72ba53	105000000	Australia	['Drama', 'Romance']	7.3	55.0	50085184.0	['Warner Bros.', 'Village Roadshow Pictures', 'A&E Television Networks', 'Bazmark Films', 'Red Wagon Entertainment', 'Spectrum Films']	2013-05-10	The Great Gatsby	144840419	351040419.0
5af5ed309a5d8daabb72ba54	60000000	USA	['Drama', 'Fantasy', 'Romance']	6.2	52.0	7582595.0	['Alcon Entertainment', 'Belle Pictures', 'Warner Bros. Entertainment']	2013-02-14	Beautiful Creatures	19452138	60052138.0
5af5ed309a5d8daabb72ba55	190000000	USA	['Action', 'Adventure', 'Sci-Fi']	6.9	65.0	37285325.0	['Warner Bros.', 'Legendary Entertainment', 'Double Dare You (DDY)']	2013-07-12	Pacific Rim	101802906	411002906.0
5af5ed309a5d8daabb72ba56	46000000	USA	['Crime', 'Drama', 'Mystery', 'Thriller']	8.1	74.0	20817053.0	['Alcon Entertainment', '8:38 Productions', 'Madhouse Entertainment']	2013-09-20	Prisoners	61002302	122126687.0
5af5ed309a5d8daabb72ba57	150000000	USA	['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']	7.5	74.0	243390.0	['Walt Disney Animation Studios', 'Walt Disney Pictures']	2013-11-27	Frozen	400738009	1276480335.0
5af5ed309a5d8daabb72ba58	100000000	USA	['Biography', 'Comedy', 'Crime', 'Drama']	8.2	75.0	18361578.0	['Red Granite Pictures', 'Appian Way', 'Sikelia Productions', 'EMJAG Productions']	2013-12-25	The Wolf of Wall Street	116900694	392000694.0
5af5ed309a5d8daabb72ba59	170000000	USA	['Action', 'Adventure', 'Sci-Fi']	7.0	54.0	85737841.0	['Marvel Studios', 'Walt Disney Pictures']	2013-11-08	Thor: The Dark World	206362140	644783140.0
5af5ed309a5d8daabb72ba5a	200000000	China	['Action', 'Adventure', 'Sci-Fi']	7.2	62.0	174144585.0	['Marvel Studios', 'Paramount Pictures', 'DMG Entertainment', 'Illusion Entertainment', 'Taurus Studios']	2013-05-03	Iron Man 3	409013994	1215439994.0
5af5ed309a5d8daabb72ba5b	30000000	USA	['Action', 'Drama', 'Mystery', 'Thriller']	5.8	49.0	885382.0	['Good Universe', 'Vertigo Entertainment', '40 Acres & A Mule Filmworks', 'OB Productions']	2013-11-27	Old Boy	2162593	
5af5ed309a5d8daabb72ba5c	18000000	USA	['Drama', 'Romance']	6.9	52.0	5175282.0	['Indian Paintbrush', 'Mr. Mudd', 'Right of Way Films']	2014-01-31	Labor Day	13362308	
5af5ed309a5d8daabb72ba5d	13500000	Italy	['Crime', 'Drama', 'Mystery', 'Romance']	7.8	49.0	2595.0	['Paco Cinematografica', 'Warner Bros.', 'BLS Südtirol Alto Adige', 'Friuli Venezia Giulia Film Commission', 'UniCredit Group', 'Regione Lazio']	2014-01-01	The Best Offer	85433	19255873.0
5af5ed309a5d8daabb72ba5e	11000000	Ireland	['Comedy', 'Romance']	6.8	59.0	133898.0	['No Trace Camping', 'Caramel Film', 'Fastnet Films']	2014-08-15	What If	3452117	
5af5ed309a5d8daabb72ba5f	175000000	USA	['Action', 'Adventure', 'Drama', 'Fantasy']	6.3	28.0	9869000.0	['H2F Entertainment', 'Mid Atlantic Films', 'Moving Picture Company (MPC)', 'Stuber Productions']	2013-12-25	47 Ronin	38362475	151783839.0
5af5ed309a5d8daabb72ba61	150000000	USA	['Action', 'Drama', 'Thriller']	6.4	52.0	24852258.0	['Columbia Pictures', 'Mythology Entertainment', 'Centropolis Entertainment', 'Iron Horse Entertainment (II)']	2013-06-28	White House Down	73103784	205366737.0
